gene_symbol,uniprot_id,compound_id,smiles,relation,value,units
GRIN1,Q05586,CHEMBL592,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,=,2500.0,nM
GRIN1,Q05586,CHEMBL592,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,=,2700.0,nM
GRIN1,Q05586,CHEMBL22207,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,=,240.0,nM
GRIN1,Q05586,CHEMBL22207,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,=,490.0,nM
GRIN1,Q05586,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,=,1100.0,nM
GRIN1,Q05586,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,=,600.0,nM
GRIN1,Q05586,CHEMBL275528,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,=,15.3,nM
GRIN1,Q05586,CHEMBL289832,O=c1[nH]c2cc(Cl)c(Cl)c([N+](=O)[O-])c2[nH]c1=O,=,5.9,nM
GRIN1,Q05586,CHEMBL289832,O=c1[nH]c2cc(Cl)c(Cl)c([N+](=O)[O-])c2[nH]c1=O,=,5888436.55,nM
GRIN1,Q05586,CHEMBL39664,O=C(O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1,=,54.0,nM
GRIN1,Q05586,CHEMBL39664,O=C(O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1,=,1600.0,nM
GRIN1,Q05586,CHEMBL14935,O=C(O)[C@@H]1C[C@H]2C[C@@H](CCc3nn[nH]n3)CC[C@H]2CN1,=,12100.0,nM
GRIN1,Q05586,CHEMBL1254766,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,=,220.0,nM
GRIN1,Q05586,CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,=,1.2,nM
GRIN1,Q05586,CHEMBL86715,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,=,1700.0,nM
GRIN1,Q05586,CHEMBL334491,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,=,11700.0,nM
GRIN1,Q05586,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,=,540.0,nM
GRIN1,Q05586,CHEMBL742,CNC1(c2ccccc2Cl)CCCCC1=O,=,420.0,nM
