compound_name,chembl_id,smiles,target_genes,pchembl_value,clinical_phase,toxicity_score,ro5_pass,bbb_permeability,top_adverse_reactions,active_trial_count,composite_score
ESKETAMINE,CHEMBL395091,CN[C@]1(c2ccccc2Cl)CCCCC1=O,GRIN1,7.9431,4.0,0.5063,True,0.9728,"SUICIDAL IDEATION, SUICIDE ATTEMPT, DRUG INEFFECTIVE",1,0.7303
LANSOPRAZOLE,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,MAPT,8.6021,4.0,0.5968,True,0.9696,"DIARRHOEA, DYSPNOEA, NAUSEA",0,0.7133
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
MEMANTINE,CHEMBL807,CC12CC3CC(C)(C1)CC(N)(C3)C2,GRIN1,6.2676,4.0,0.4478,True,0.9909,"FALL, DEATH, DRUG INEFFECTIVE",0,0.7071
